Rank,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Completion Date,Locations
191,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults Only,Phase 2 & Phase 3,401-500 persons,Industry Only,Interventional,2020,2021,Others
192,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2017,2022,France
193,Completed,No Results Available,SARS-CoV-2 & Covid-19,Device,All,Adults & Older Adults,Not Applicable,101-200 persons,Industry Only,Interventional,2020,2020,United States of America
194,Recruiting,No Results Available,Covid-19 Only,Genetic,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Italy
195,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults Only,,1001-5k persons,Others Only,Observational,2021,2023,China
196,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,701-800 persons,Others Only,Observational,2021,2021,Mexico
197,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2021,2023,Canada
198,Recruiting,No Results Available,Cancer & Covid-19,Biological,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2021,2024,United States of America
199,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,101-200 persons,Others Only,Interventional,2020,2020,Spain
200,Recruiting,No Results Available,Pneumonia & Covid-19,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2022,Italy
201,Recruiting,No Results Available,Covid-19 Only,Biological,All,"Children, Adults & Older Adults",Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2020,2022,Others
202,Not yet recruiting,No Results Available,Covid-19 Only,Genetic,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2022,Others
203,Recruiting,No Results Available,Pregnancy & Covid-19,Diagnostic Test,Female,Children & Adults,,401-500 persons,Others Only,Observational,2020,2022,Brazil
204,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,United States of America
205,Not yet recruiting,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,5001-10k persons,Others Only,Observational,2021,2021,France
206,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,10001-50k persons,Others Only,Observational,2020,2021,Belgium
207,Completed,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Others
208,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2023,United States of America
209,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2021,2022,Others
210,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,France
211,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2021,Canada
212,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults Only,,201-300 persons,Others Only,Observational,2020,2020,India
213,Enrolling by invitation,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,901-1k persons,Others Only,Observational,2020,2021,United States of America
214,Not yet recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 3,1-100 persons,Others Only,Interventional,2020,2020,Others
215,Completed,No Results Available,Other Acute Diseases & Covid-19,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
216,Completed,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,201-300 persons,Others Only,Observational,2020,2020,France
217,"Active, not recruiting",No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,401-500 persons,Others Only,Interventional,2020,2021,France
218,Completed,No Results Available,AKI & Covid-19,Behavioral,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2020,Mexico
219,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 2,1001-5k persons,Others & Industry,Interventional,2021,2021,United States of America
220,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Egypt
221,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,101-200 persons,Others Only,Interventional,2020,2021,Others
222,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1001-5k persons,Others Only,Interventional,2020,2022,United States of America
223,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,901-1k persons,Others Only,Observational,2020,2022,United States of America
224,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Industry Only,Interventional,2020,2021,Japan
225,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Egypt
226,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults Only,,50001-100k persons,Others Only,Observational,2020,2020,Turkey
227,Enrolling by invitation,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Others
228,Withdrawn,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,0 persons,Others Only,Interventional,2020,2020,Others
229,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2020,France
230,Not yet recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,101-200 persons,Industry Only,Interventional,2021,2022,Others
231,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,France
232,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2020,France
233,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,Portugal
234,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Phase 2,501-600 persons,Others Only,Interventional,2020,2021,Saudi Arabia
235,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,United States of America
236,Completed,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,"Children, Adults & Older Adults",,601-700 persons,Others Only,Observational,2020,2020,Czechia
237,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2020,Spain
238,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,France
239,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults Only,Phase 4,1-100 persons,Others Only,Interventional,2021,2021,Czechia
240,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Brazil
241,Completed,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2020,France
242,Not yet recruiting,No Results Available,Covid-19 Only,Biological,Female,Adults Only,,1001-5k persons,Industry & Others,Observational,2021,2025,United States of America
243,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 4,101-200 persons,Others Only,Interventional,2020,2021,United States of America
244,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2021,2022,Italy
245,Completed,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2020,France
246,Recruiting,No Results Available,Covid-19 Only,,All,Adults Only,,101-200 persons,Others Only,Observational,2020,2021,United Kingdom
247,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Industry & Others,Observational,2020,2021,United States of America
248,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2022,Italy
249,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Dietary Supplement,All,Adults Only,Phase 2,301-400 persons,Others Only,Interventional,2020,2021,Peru
250,Recruiting,No Results Available,Covid-19 Only,Procedural,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2023,France
251,Terminated,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,Phase 3,601-700 persons,Others Only,Interventional,2020,2020,United States of America
252,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Children & Adults,,201-300 persons,Others & Industry,Observational,2020,2022,United States of America
253,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2022,France
254,Completed,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,,201-300 persons,Industry Only,Observational,2020,2020,United States of America
255,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults Only,Phase 3,1-100 persons,Others Only,Interventional,2020,2021,Others
256,Enrolling by invitation,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,United States of America
257,Not yet recruiting,No Results Available,Covid-19 Only,Behavioral,All,"Children, Adults & Older Adults",Not Applicable,801-900 persons,Others Only,Interventional,2021,2022,Others
258,Recruiting,No Results Available,Covid-19 Only,Procedural,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Italy
259,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2023,France
260,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,301-400 persons,Others Only,Interventional,2020,2021,France
261,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,France
262,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2020,2022,Switzerland
263,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults Only,Phase 4,10001-50k persons,Others Only,Interventional,2021,2022,Brazil
264,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2020,Egypt
265,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
266,Completed,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults Only,,801-900 persons,Others Only,Observational,2020,2020,France
267,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1,1-100 persons,Others & Industry,Interventional,2020,2022,Indonesia
268,Recruiting,No Results Available,Other Acute Diseases & Covid-19,Drug,All,Adults & Older Adults,Phase 1,1-100 persons,Others Only,Interventional,2020,2021,United States of America
269,"Active, not recruiting",No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Germany
270,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Egypt
271,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2021,2021,Germany
272,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 3,10001-50k persons,Others Only,Interventional,2020,2022,Brazil
273,Recruiting,No Results Available,Other Acute Diseases & Covid-19,Others,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2021,Turkey
274,Recruiting,No Results Available,Liver Diseases & Covid-19,Others,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2021,2021,Egypt
275,Not yet recruiting,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2021,2022,Others
276,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2021,2024,Others
277,Not yet recruiting,No Results Available,Covid-19 Only,Procedural,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,France
278,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2020,2020,Turkey
279,Not yet recruiting,No Results Available,Covid-19 Only,Biological,All,"Children, Adults & Older Adults",,901-1k persons,Others Only,Observational,2021,2022,United States of America
